Model,GoalX,GoalY,Theta_center,SuccessRate,Count
DNN_LNA_sinu,0.5,-0.5,-0.39269908169872414,,0
DNN_LNA_sinu,0.5,-0.5,0.39269908169872414,,0
DNN_LNA_sinu,0.5,-0.5,1.1780972450961724,,0
DNN_LNA_sinu,0.5,-0.5,1.9634954084936207,,0
DNN_LNA_sinu,0.5,-0.5,2.748893571891069,,0
DNN_LNA_sinu,0.5,0.0,-2.748893571891069,,0
DNN_LNA_sinu,0.5,0.0,-1.9634954084936207,,0
DNN_LNA_sinu,0.5,0.0,-1.1780972450961724,,0
DNN_LNA_sinu,0.5,0.0,-0.39269908169872414,,0
DNN_LNA_sinu,0.5,0.0,0.39269908169872414,,0
DNN_LNA_sinu,0.5,0.0,1.1780972450961724,,0
DNN_LNA_sinu,0.5,0.0,1.9634954084936207,,0
DNN_LNA_sinu,0.5,0.0,2.748893571891069,,0
DNN_LNA_sinu,0.5,0.5,-2.748893571891069,82.8,29
DNN_LNA_sinu,0.5,0.5,-1.9634954084936207,70.4,27
DNN_LNA_sinu,0.5,0.5,-1.1780972450961724,78.1,32
DNN_LNA_sinu,0.5,0.5,-0.39269908169872414,78.6,14
DNN_LNA_sinu,0.5,0.5,0.39269908169872414,88.0,25
DNN_LNA_sinu,0.5,0.5,1.1780972450961724,90.9,22
DNN_LNA_sinu,0.5,0.5,1.9634954084936207,91.7,24
DNN_LNA_sinu,0.5,0.5,2.748893571891069,59.3,27
DNN_LNA_sinu,1.0,-0.5,-2.748893571891069,,0
DNN_LNA_sinu,1.0,-0.5,-1.9634954084936207,,0
DNN_LNA_sinu,1.0,-0.5,-1.1780972450961724,,0
DNN_LNA_sinu,1.0,-0.5,-0.39269908169872414,,0
DNN_LNA_sinu,1.0,-0.5,0.39269908169872414,,0
DNN_LNA_sinu,1.0,-0.5,1.1780972450961724,,0
DNN_LNA_sinu,1.0,-0.5,1.9634954084936207,,0
DNN_LNA_sinu,1.0,-0.5,2.748893571891069,,0
DNN_LNA_sinu,1.0,0.0,-2.748893571891069,34.5,29
DNN_LNA_sinu,1.0,0.0,-1.9634954084936207,29.6,27
DNN_LNA_sinu,1.0,0.0,-1.1780972450961724,68.8,32
DNN_LNA_sinu,1.0,0.0,-0.39269908169872414,78.6,14
DNN_LNA_sinu,1.0,0.0,0.39269908169872414,92.0,25
DNN_LNA_sinu,1.0,0.0,1.1780972450961724,90.9,22
DNN_LNA_sinu,1.0,0.0,1.9634954084936207,91.7,24
DNN_LNA_sinu,1.0,0.0,2.748893571891069,48.1,27
DNN_LNA_sinu,1.0,0.5,-2.748893571891069,,0
DNN_LNA_sinu,1.0,0.5,-1.9634954084936207,,0
DNN_LNA_sinu,1.0,0.5,-1.1780972450961724,,0
DNN_LNA_sinu,1.0,0.5,-0.39269908169872414,,0
DNN_LNA_sinu,1.0,0.5,0.39269908169872414,,0
DNN_LNA_sinu,1.0,0.5,1.1780972450961724,,0
DNN_LNA_sinu,1.0,0.5,1.9634954084936207,,0
DNN_LNA_sinu,1.0,0.5,2.748893571891069,,0
DNN_LNA_sinu,1.5,-0.5,-2.748893571891069,17.2,29
DNN_LNA_sinu,1.5,-0.5,-1.9634954084936207,48.1,27
DNN_LNA_sinu,1.5,-0.5,-1.1780972450961724,71.9,32
DNN_LNA_sinu,1.5,-0.5,-0.39269908169872414,64.3,14
DNN_LNA_sinu,1.5,-0.5,0.39269908169872414,88.0,25
DNN_LNA_sinu,1.5,-0.5,1.1780972450961724,86.4,22
DNN_LNA_sinu,1.5,-0.5,1.9634954084936207,91.7,24
DNN_LNA_sinu,1.5,-0.5,2.748893571891069,51.9,27
DNN_LNA_sinu,1.5,0.0,-2.748893571891069,,0
DNN_LNA_sinu,1.5,0.0,-1.9634954084936207,,0
DNN_LNA_sinu,1.5,0.0,-1.1780972450961724,,0
DNN_LNA_sinu,1.5,0.0,-0.39269908169872414,,0
DNN_LNA_sinu,1.5,0.0,0.39269908169872414,,0
DNN_LNA_sinu,1.5,0.0,1.1780972450961724,,0
DNN_LNA_sinu,1.5,0.0,1.9634954084936207,,0
DNN_LNA_sinu,1.5,0.0,2.748893571891069,,0
DNN_LNA_sinu,1.5,0.5,-2.748893571891069,,0
DNN_LNA_sinu,1.5,0.5,-1.9634954084936207,,0
DNN_LNA_sinu,1.5,0.5,-1.1780972450961724,,0
DNN_LNA_sinu,1.5,0.5,-0.39269908169872414,,0
DNN_LNA_sinu,1.5,0.5,0.39269908169872414,,0
DNN_LNA_sinu,1.5,0.5,1.1780972450961724,,0
DNN_LNA_sinu,1.5,0.5,1.9634954084936207,,0
DNN_LNA_sinu,1.5,0.5,2.748893571891069,,0
